Word,FREQcount,CDcount,FREQlow,Cdlow,SUBTLWF,SUBTLCD,Lg10WF,Lg10CD
unbless,2,1,2,1,0.04,0.01,0.4771,0.3010
unblessed,3,2,3,2,0.06,0.02,0.6021,0.4771
unblinking,3,3,3,3,0.06,0.04,0.6021,0.6021
unblock,8,8,6,6,0.16,0.10,0.9542,0.9542
unblocked,3,3,3,3,0.06,0.04,0.6021,0.6021
unbolt,2,2,1,1,0.04,0.02,0.4771,0.4771
unborn,116,92,110,89,2.27,1.10,2.0682,1.9685
unbossed,2,1,2,1,0.04,0.01,0.4771,0.3010
unbottle,2,2,1,1,0.04,0.02,0.4771,0.4771
unbought,2,2,2,2,0.04,0.02,0.4771,0.4771
unbound,12,11,10,9,0.24,0.13,1.1139,1.0792
unbounded,7,5,7,5,0.14,0.06,0.9031,0.7782
unbowed,5,5,5,5,0.10,0.06,0.7782,0.7782
unbreakable,35,30,24,22,0.69,0.36,1.5563,1.4914
unbridled,30,28,29,28,0.59,0.33,1.4914,1.4624
unbroken,20,20,19,19,0.39,0.24,1.3222,1.3222
unbuckle,18,15,12,11,0.35,0.18,1.2788,1.2041
unbuckled,12,5,12,5,0.24,0.06,1.1139,0.7782
unbuild,2,2,2,2,0.04,0.02,0.4771,0.4771
unburden,11,11,8,8,0.22,0.13,1.0792,1.0792
unburdened,5,5,5,5,0.10,0.06,0.7782,0.7782
unburned,9,7,5,5,0.18,0.08,1.0000,0.9031
unbutton,38,28,28,20,0.75,0.33,1.5911,1.4624
unbuttoned,18,16,18,16,0.35,0.19,1.2788,1.2304
unbuttoning,9,7,7,6,0.18,0.08,1.0000,0.9031
Unc,51,17,1,1,1.00,0.20,1.7160,1.2553
uncalled,39,37,39,37,0.76,0.44,1.6021,1.5798
uncannily,4,4,3,3,0.08,0.05,0.6990,0.6990
uncanny,76,69,66,62,1.49,0.82,1.8865,1.8451
uncaring,14,12,14,12,0.27,0.14,1.1761,1.1139
uncashed,2,2,2,2,0.04,0.02,0.4771,0.4771
uncatchable,4,2,4,2,0.08,0.02,0.6990,0.4771
