Word,FREQcount,CDcount,FREQlow,Cdlow,SUBTLWF,SUBTLCD,Lg10WF,Lg10CD
a,1041179,8382,976941,8380,20415.27,99.93,6.0175,3.9234
Aa,87,70,6,5,1.71,0.83,1.9445,1.8513
Aaa,25,23,5,3,0.49,0.27,1.4150,1.3802
Aah,2688,634,52,37,52.71,7.56,3.4296,2.8028
aahing,2,2,2,2,0.04,0.02,0.4771,0.4771
aahs,5,4,5,4,0.10,0.05,0.7782,0.6990
aardvark,21,12,14,8,0.41,0.14,1.3424,1.1139
Aargh,33,26,2,1,0.65,0.31,1.5315,1.4314
Aaron,747,162,0,0,14.65,1.93,2.8739,2.2122
aas,2,2,1,1,0.04,0.02,0.4771,0.4771
Ab,75,51,17,15,1.47,0.61,1.8808,1.7160
Aba,4,4,1,1,0.08,0.05,0.6990,0.6990
aback,15,15,15,15,0.29,0.18,1.2041,1.2041
abacus,12,10,10,9,0.24,0.12,1.1139,1.0414
Abaddon,10,4,0,0,0.20,0.05,1.0414,0.6990
abaft,2,1,2,1,0.04,0.01,0.4771,0.3010
abalone,26,11,14,9,0.51,0.13,1.4314,1.0792
Abalones,6,2,1,1,0.12,0.02,0.8451,0.4771
abandon,413,312,345,281,8.10,3.72,2.6170,2.4955
abandoned,678,538,650,522,13.29,6.41,2.8319,2.7316
abandoning,86,79,84,77,1.69,0.94,1.9395,1.9031
abandonment,49,45,45,41,0.96,0.54,1.6990,1.6628
abandons,14,14,14,14,0.27,0.17,1.1761,1.1761
abase,3,3,2,2,0.06,0.04,0.6021,0.6021
abate,5,3,5,3,0.10,0.04,0.7782,0.6021
abated,4,4,4,4,0.08,0.05,0.6990,0.6990
abatement,3,3,3,3,0.06,0.04,0.6021,0.6021
abates,2,2,2,2,0.04,0.02,0.4771,0.4771
abattoir,7,5,4,4,0.14,0.06,0.9031,0.7782
Abay,3,1,0,0,0.06,0.01,0.6021,0.3010
Abb,3,3,0,0,0.06,0.04,0.6021,0.6021
Abba,9,8,0,0,0.18,0.10,1.0000,0.9542
Abbas,5,2,0,0,0.10,0.02,0.7782,0.4771
Abbe,2,2,0,0,0.04,0.02,0.4771,0.4771
abbess,2,2,1,1,0.04,0.02,0.4771,0.4771
Abbey,162,53,45,20,3.18,0.63,2.2122,1.7324
Abbot,43,24,18,9,0.84,0.29,1.6435,1.3979
Abbott,401,130,1,1,7.86,1.55,2.6042,2.1173
abbreviated,16,14,14,13,0.31,0.17,1.2304,1.1761
abbreviation,12,8,12,8,0.24,0.10,1.1139,0.9542
abbreviations,10,8,10,8,0.20,0.10,1.0414,0.9542
Abby,637,102,0,0,12.49,1.22,2.8048,2.0128
Abc,124,92,0,0,2.43,1.10,2.0969,1.9685
abdicate,9,9,9,9,0.18,0.11,1.0000,1.0000
abdicated,7,7,7,7,0.14,0.08,0.9031,0.9031
Abdicating,3,3,1,1,0.06,0.04,0.6021,0.6021
abdication,6,6,5,5,0.12,0.07,0.8451,0.8451
abdomen,171,122,152,116,3.35,1.45,2.2355,2.0899
abdomens,3,3,3,3,0.06,0.04,0.6021,0.6021
abdominal,174,104,149,94,3.41,1.24,2.2430,2.0212
abdominals,7,7,7,7,0.14,0.08,0.9031,0.9031
abduct,36,32,36,32,0.71,0.38,1.5682,1.5185
abducted,255,176,250,175,5.00,2.10,2.4082,2.2480
abductee,20,11,20,11,0.39,0.13,1.3222,1.0792
abductees,18,13,15,11,0.35,0.15,1.2788,1.1461
abducting,16,13,15,13,0.31,0.15,1.2304,1.1461
abduction,185,111,179,109,3.63,1.32,2.2695,2.0492
abductions,42,22,42,22,0.82,0.26,1.6335,1.3617
abductor,18,13,16,13,0.35,0.15,1.2788,1.1461
abductors,11,8,11,8,0.22,0.10,1.0792,0.9542
abducts,8,8,7,7,0.16,0.10,0.9542,0.9542
abeam,7,4,7,4,0.14,0.05,0.9031,0.6990
abed,10,9,6,6,0.20,0.11,1.0414,1.0000
Abel,68,24,2,2,1.33,0.29,1.8388,1.3979
Abend,9,6,0,0,0.18,0.07,1.0000,0.8451
Aberdeen,17,12,0,0,0.33,0.14,1.2553,1.1139
aberrant,15,13,15,13,0.29,0.15,1.2041,1.1461
aberration,28,26,28,26,0.55,0.31,1.4624,1.4314
aberrations,8,8,8,8,0.16,0.10,0.9542,0.9542
abet,5,5,5,5,0.10,0.06,0.7782,0.7782
abetted,8,8,8,8,0.16,0.10,0.9542,0.9542
abetting,26,25,25,24,0.51,0.30,1.4314,1.4150
abeyance,2,2,2,2,0.04,0.02,0.4771,0.4771
abhor,12,12,12,12,0.24,0.14,1.1139,1.1139
abhorred,7,7,7,7,0.14,0.08,0.9031,0.9031
abhorrent,9,9,9,9,0.18,0.11,1.0000,1.0000
abhors,4,3,4,3,0.08,0.04,0.6990,0.6021
abide,138,124,133,120,2.71,1.48,2.1430,2.0969
abided,3,2,3,2,0.06,0.02,0.6021,0.4771
abides,4,3,4,3,0.08,0.04,0.6990,0.6021
abiding,25,24,24,23,0.49,0.29,1.4150,1.3979
Abigail,154,43,0,0,3.02,0.51,2.1903,1.6435
Abilene,68,30,0,0,1.33,0.36,1.8388,1.4914
abilities,312,209,306,208,6.12,2.49,2.4955,2.3222
ability,980,679,974,673,19.22,8.09,2.9917,2.8325
Abiogenist,3,1,0,0,0.06,0.01,0.6021,0.3010
abject,20,20,17,17,0.39,0.24,1.3222,1.3222
abjectly,3,3,3,3,0.06,0.04,0.6021,0.6021
ablaze,21,19,20,18,0.41,0.23,1.3424,1.3010
able,8155,4285,8048,4258,159.90,51.08,3.9115,3.6321
ablest,2,2,2,2,0.04,0.02,0.4771,0.4771
abloom,3,1,3,1,0.06,0.01,0.6021,0.3010
ablution,3,2,2,1,0.06,0.02,0.6021,0.4771
ablutions,4,3,4,3,0.08,0.04,0.6990,0.6021
ably,9,9,9,9,0.18,0.11,1.0000,1.0000
Abner,172,16,0,0,3.37,0.19,2.2380,1.2304
abnormal,148,128,133,115,2.90,1.53,2.1732,2.1106
abnormalities,25,23,24,22,0.49,0.27,1.4150,1.3802
abnormality,26,20,26,20,0.51,0.24,1.4314,1.3222
abnormally,20,19,18,18,0.39,0.23,1.3222,1.3010
abo,6,6,5,5,0.12,0.07,0.8451,0.8451
aboard,1358,709,1335,706,26.63,8.45,3.1332,2.8513
abode,33,31,33,31,0.65,0.37,1.5315,1.5051
abogado,2,2,2,2,0.04,0.02,0.4771,0.4771
abolish,24,21,23,20,0.47,0.25,1.3979,1.3424
abolished,20,18,19,17,0.39,0.21,1.3222,1.2788
abolishing,2,2,2,2,0.04,0.02,0.4771,0.4771
abolition,10,8,10,8,0.20,0.10,1.0414,0.9542
abolitionist,11,7,11,7,0.22,0.08,1.0792,0.9031
abolitionists,13,4,12,4,0.25,0.05,1.1461,0.6990
abominable,32,25,25,20,0.63,0.30,1.5185,1.4150
abominably,8,8,7,7,0.16,0.10,0.9542,0.9542
abominate,3,2,3,2,0.06,0.02,0.6021,0.4771
abomination,58,47,53,46,1.14,0.56,1.7709,1.6812
abominations,7,7,7,7,0.14,0.08,0.9031,0.9031
aboriginal,9,9,8,8,0.18,0.11,1.0000,1.0000
aborigine,4,4,4,4,0.08,0.05,0.6990,0.6990
aborigines,9,8,5,4,0.18,0.10,1.0000,0.9542
Abort,235,118,117,81,4.61,1.41,2.3729,2.0755
aborted,32,29,31,28,0.63,0.35,1.5185,1.4771
aborting,13,11,10,9,0.25,0.13,1.1461,1.0792
abortion,369,155,354,149,7.24,1.85,2.5682,2.1931
abortionist,4,4,4,4,0.08,0.05,0.6990,0.6990
abortions,35,28,34,27,0.69,0.33,1.5563,1.4624
abound,18,16,18,16,0.35,0.19,1.2788,1.2304
abounded,3,3,3,3,0.06,0.04,0.6021,0.6021
abounding,4,3,4,3,0.08,0.04,0.6990,0.6021
abounds,10,10,10,10,0.20,0.12,1.0414,1.0414
about,185206,8321,179962,8313,3631.49,99.20,5.2677,3.9202
abouts,8,8,8,8,0.16,0.10,0.9542,0.9542
above,2493,1778,2350,1703,48.88,21.20,3.3969,3.2502
aboveboard,14,13,14,13,0.27,0.15,1.1761,1.1461
aboveground,7,7,6,6,0.14,0.08,0.9031,0.9031
Abracadabra,53,26,10,8,1.04,0.31,1.7324,1.4314
abraded,5,5,4,4,0.10,0.06,0.7782,0.7782
Abraham,264,140,3,1,5.18,1.67,2.4232,2.1492
abrasion,18,15,15,13,0.35,0.18,1.2788,1.2041
abrasions,56,50,52,47,1.10,0.60,1.7559,1.7076
abrasive,23,22,21,20,0.45,0.26,1.3802,1.3617
abrasiveness,2,1,2,1,0.04,0.01,0.4771,0.3010
abrasives,4,1,4,1,0.08,0.01,0.6990,0.3010
Abraxas,29,3,0,0,0.57,0.04,1.4771,0.6021
abreast,26,25,26,25,0.51,0.30,1.4314,1.4150
abridged,9,6,7,5,0.18,0.07,1.0000,0.8451
abridging,2,2,2,2,0.04,0.02,0.4771,0.4771
abroad,250,203,248,201,4.90,2.42,2.3997,2.3096
abrogated,2,2,2,2,0.04,0.02,0.4771,0.4771
abrupt,58,56,56,54,1.14,0.67,1.7709,1.7559
abruption,6,5,5,5,0.12,0.06,0.8451,0.7782
abruptly,45,43,44,42,0.88,0.51,1.6628,1.6435
abruptness,4,4,4,4,0.08,0.05,0.6990,0.6990
abs,54,44,36,31,1.06,0.52,1.7404,1.6532
Abscam,3,2,0,0,0.06,0.02,0.6021,0.4771
abscess,25,21,23,20,0.49,0.25,1.4150,1.3424
abscessed,3,3,3,3,0.06,0.04,0.6021,0.6021
abscesses,7,6,6,5,0.14,0.07,0.9031,0.8451
abscond,5,5,5,5,0.10,0.06,0.7782,0.7782
absconded,5,5,5,5,0.10,0.06,0.7782,0.7782
absconders,2,2,2,2,0.04,0.02,0.4771,0.4771
absconding,3,3,3,3,0.06,0.04,0.6021,0.6021
absence,322,285,314,281,6.31,3.40,2.5092,2.4564
absences,14,12,14,12,0.27,0.14,1.1761,1.1139
absent,131,111,117,100,2.57,1.32,2.1206,2.0492
absentee,18,18,18,18,0.35,0.21,1.2788,1.2788
absenteeism,5,5,5,5,0.10,0.06,0.7782,0.7782
absentees,4,4,4,4,0.08,0.05,0.6990,0.6990
absentia,9,8,9,8,0.18,0.10,1.0000,0.9542
absenting,2,2,1,1,0.04,0.02,0.4771,0.4771
absentminded,3,2,3,2,0.06,0.02,0.6021,0.4771
absinthe,28,15,16,9,0.55,0.18,1.4624,1.2041
absinthes,3,1,3,1,0.06,0.01,0.6021,0.3010
absolute,577,491,529,459,11.31,5.85,2.7619,2.6920
absolutely,5769,3291,3032,2053,113.12,39.23,3.7612,3.5175
absolutes,21,16,20,15,0.41,0.19,1.3424,1.2304
absolution,48,43,47,43,0.94,0.51,1.6902,1.6435
absolve,29,25,27,24,0.57,0.30,1.4771,1.4150
absolved,15,15,15,15,0.29,0.18,1.2041,1.2041
Absolver,4,1,0,0,0.08,0.01,0.6990,0.3010
absolves,4,3,4,3,0.08,0.04,0.6990,0.6021
absolving,5,5,5,5,0.10,0.06,0.7782,0.7782
absorb,101,92,99,91,1.98,1.10,2.0086,1.9685
absorbed,78,71,74,67,1.53,0.85,1.8976,1.8573
absorbent,8,8,7,7,0.16,0.10,0.9542,0.9542
absorber,3,3,3,3,0.06,0.04,0.6021,0.6021
absorbers,8,6,8,6,0.16,0.07,0.9542,0.8451
absorbing,23,21,21,19,0.45,0.25,1.3802,1.3424
absorbs,25,25,24,24,0.49,0.30,1.4150,1.4150
Absorbtion,3,1,1,1,0.06,0.01,0.6021,0.3010
absorption,18,17,16,15,0.35,0.20,1.2788,1.2553
abstain,26,19,18,17,0.51,0.23,1.4314,1.3010
abstained,4,4,4,4,0.08,0.05,0.6990,0.6990
abstaining,8,8,7,7,0.16,0.10,0.9542,0.9542
abstains,2,2,2,2,0.04,0.02,0.4771,0.4771
abstention,6,5,6,5,0.12,0.06,0.8451,0.7782
abstinence,45,28,34,25,0.88,0.33,1.6628,1.4624
abstinent,3,2,2,2,0.06,0.02,0.6021,0.4771
abstract,111,82,104,79,2.18,0.98,2.0492,1.9191
abstracted,3,3,3,3,0.06,0.04,0.6021,0.6021
abstraction,15,11,13,11,0.29,0.13,1.2041,1.0792
abstractions,5,4,5,4,0.10,0.05,0.7782,0.6990
abstractly,2,2,2,2,0.04,0.02,0.4771,0.4771
abstracts,7,7,5,5,0.14,0.08,0.9031,0.9031
abstruse,3,3,3,3,0.06,0.04,0.6021,0.6021
absurd,495,397,467,378,9.71,4.73,2.6955,2.5999
absurdities,6,6,6,6,0.12,0.07,0.8451,0.8451
absurdity,32,31,32,31,0.63,0.37,1.5185,1.5051
absurdly,15,15,13,13,0.29,0.18,1.2041,1.2041
abt,11,5,7,3,0.22,0.06,1.0792,0.7782
Abu,131,29,0,0,2.57,0.35,2.1206,1.4771
abundance,45,41,45,41,0.88,0.49,1.6628,1.6232
abundant,29,26,28,25,0.57,0.31,1.4771,1.4314
abundantly,21,21,21,21,0.41,0.25,1.3424,1.3424
abuse,523,409,503,396,10.25,4.88,2.7193,2.6128
abused,231,184,226,181,4.53,2.19,2.3655,2.2672
abuser,16,16,16,16,0.31,0.19,1.2304,1.2304
abusers,11,10,11,10,0.22,0.12,1.0792,1.0414
abuses,25,23,21,21,0.49,0.27,1.4150,1.3802
abusing,61,55,61,55,1.20,0.66,1.7924,1.7482
abusive,83,81,81,79,1.63,0.97,1.9243,1.9138
abut,6,5,6,5,0.12,0.06,0.8451,0.7782
abutment,6,5,6,5,0.12,0.06,0.8451,0.7782
abuts,2,2,2,2,0.04,0.02,0.4771,0.4771
abuzz,2,2,2,2,0.04,0.02,0.4771,0.4771
abysmal,21,18,20,18,0.41,0.21,1.3424,1.2788
abyss,90,67,77,62,1.76,0.80,1.9590,1.8325
abysses,2,2,2,2,0.04,0.02,0.4771,0.4771
Abyssinia,8,5,0,0,0.16,0.06,0.9542,0.7782
Abyssinian,9,7,3,1,0.18,0.08,1.0000,0.9031
abyssus,4,4,4,4,0.08,0.05,0.6990,0.6990
Ac,110,88,6,5,2.16,1.05,2.0453,1.9494
acacia,8,7,4,3,0.16,0.08,0.9542,0.9031
academe,2,2,2,2,0.04,0.02,0.4771,0.4771
academia,12,12,10,10,0.24,0.14,1.1139,1.1139
academic,238,181,215,172,4.67,2.16,2.3784,2.2601
academically,11,10,9,8,0.22,0.12,1.0792,1.0414
academics,35,31,33,30,0.69,0.37,1.5563,1.5051
academies,7,7,7,7,0.14,0.08,0.9031,0.9031
Academy,633,345,284,156,12.41,4.11,2.8021,2.5391
Acadia,3,3,0,0,0.06,0.04,0.6021,0.6021
Acapulco,82,56,0,0,1.61,0.67,1.9191,1.7559
acc,8,8,4,4,0.16,0.10,0.9542,0.9542
accede,7,7,7,7,0.14,0.08,0.9031,0.9031
accelerant,28,13,25,13,0.55,0.15,1.4624,1.1461
accelerate,65,53,55,45,1.27,0.63,1.8195,1.7324
accelerated,49,42,43,38,0.96,0.50,1.6990,1.6335
accelerates,5,5,5,5,0.10,0.06,0.7782,0.7782
accelerating,45,38,38,34,0.88,0.45,1.6628,1.5911
acceleration,44,37,38,33,0.86,0.44,1.6532,1.5798
accelerator,69,47,66,45,1.35,0.56,1.8451,1.6812
accelerators,4,3,3,2,0.08,0.04,0.6990,0.6021
accent,621,447,595,438,12.18,5.33,2.7938,2.6513
accents,58,56,57,55,1.14,0.67,1.7709,1.7559
accentuate,18,12,15,10,0.35,0.14,1.2788,1.1139
accentuated,2,2,2,2,0.04,0.02,0.4771,0.4771
accentuates,4,4,4,4,0.08,0.05,0.6990,0.6990
accept,2692,1861,2598,1820,52.78,22.19,3.4302,3.2700
acceptable,269,243,256,235,5.27,2.90,2.4314,2.3874
acceptance,161,140,150,134,3.16,1.67,2.2095,2.1492
acceptances,2,2,2,2,0.04,0.02,0.4771,0.4771
accepted,801,658,780,645,15.71,7.84,2.9042,2.8189
accepting,206,195,182,174,4.04,2.32,2.3160,2.2923
accepts,106,97,106,97,2.08,1.16,2.0294,1.9912
access,1615,923,1483,879,31.67,11.00,3.2084,2.9657
accessed,78,62,75,61,1.53,0.74,1.8976,1.7993
accesses,2,2,2,2,0.04,0.02,0.4771,0.4771
accessibility,2,2,2,2,0.04,0.02,0.4771,0.4771
accessible,56,50,56,50,1.10,0.60,1.7559,1.7076
accessing,53,47,40,36,1.04,0.56,1.7324,1.6812
accession,6,3,6,3,0.12,0.04,0.8451,0.6021
accessories,76,71,68,63,1.49,0.85,1.8865,1.8573
accessorize,18,18,17,17,0.35,0.21,1.2788,1.2788
accessorized,2,2,2,2,0.04,0.02,0.4771,0.4771
accessorizing,6,6,6,6,0.12,0.07,0.8451,0.8451
accessory,147,125,141,122,2.88,1.49,2.1703,2.1004
accident,4146,2180,4061,2166,81.29,25.99,3.6177,3.3387
accidental,153,134,138,123,3.00,1.60,2.1875,2.1303
accidentally,449,397,436,388,8.80,4.73,2.6532,2.5999
accidently,11,10,11,10,0.22,0.12,1.0792,1.0414
accidents,340,281,289,244,6.67,3.35,2.5328,2.4502
acclaim,22,19,22,19,0.43,0.23,1.3617,1.3010
acclaimed,20,20,20,20,0.39,0.24,1.3222,1.3222
acclaims,2,2,2,2,0.04,0.02,0.4771,0.4771
acclimate,8,8,8,8,0.16,0.10,0.9542,0.9542
acclimated,10,8,9,8,0.20,0.10,1.0414,0.9542
acclimating,3,3,3,3,0.06,0.04,0.6021,0.6021
acclimatized,2,2,2,2,0.04,0.02,0.4771,0.4771
accolades,9,9,9,9,0.18,0.11,1.0000,1.0000
accommodate,109,106,109,106,2.14,1.26,2.0414,2.0294
accommodated,5,5,5,5,0.10,0.06,0.7782,0.7782
accommodates,3,3,3,3,0.06,0.04,0.6021,0.6021
accommodating,36,32,36,32,0.71,0.38,1.5682,1.5185
accommodation,48,45,44,42,0.94,0.54,1.6902,1.6628
accommodations,85,81,83,79,1.67,0.97,1.9345,1.9138
accomodate,6,4,6,4,0.12,0.05,0.8451,0.6990
accompanied,105,98,101,95,2.06,1.17,2.0253,1.9956
accompanies,13,13,13,13,0.25,0.15,1.1461,1.1461
accompaniment,15,13,15,13,0.29,0.15,1.2041,1.1461
accompanist,10,8,10,8,0.20,0.10,1.0414,0.9542
accompany,242,213,233,209,4.75,2.54,2.3856,2.3304
accompanying,47,45,43,41,0.92,0.54,1.6812,1.6628
accompli,8,8,8,8,0.16,0.10,0.9542,0.9542
accomplice,216,147,210,145,4.24,1.75,2.3365,2.1703
accomplices,58,50,57,50,1.14,0.60,1.7709,1.7076
accomplish,298,263,297,263,5.84,3.14,2.4757,2.4216
accomplished,384,346,380,342,7.53,4.12,2.5855,2.5403
accomplishes,7,7,7,7,0.14,0.08,0.9031,0.9031
accomplishing,26,24,26,24,0.51,0.29,1.4314,1.3979
accomplishment,96,87,95,86,1.88,1.04,1.9868,1.9445
accomplishments,81,75,80,75,1.59,0.89,1.9138,1.8808
accord,83,66,77,63,1.63,0.79,1.9243,1.8261
accordance,81,66,81,66,1.59,0.79,1.9138,1.8261
accorded,7,6,7,6,0.14,0.07,0.9031,0.8451
According,2135,1571,1006,837,41.86,18.73,3.3296,3.1965
accordingly,93,89,80,77,1.82,1.06,1.9731,1.9542
accordion,67,46,63,44,1.31,0.55,1.8325,1.6721
accordions,3,2,2,2,0.06,0.02,0.6021,0.4771
accords,9,9,8,8,0.18,0.11,1.0000,1.0000
accost,3,3,3,3,0.06,0.04,0.6021,0.6021
accosted,34,30,33,30,0.67,0.36,1.5441,1.4914
accosting,4,4,4,4,0.08,0.05,0.6990,0.6990
account,2280,1386,2253,1375,44.71,16.52,3.3581,3.1421
accountability,24,17,20,17,0.47,0.20,1.3979,1.2553
accountable,72,65,72,65,1.41,0.77,1.8633,1.8195
accountancy,3,2,2,2,0.06,0.02,0.6021,0.4771
accountant,315,191,303,185,6.18,2.28,2.4997,2.2833
accountants,55,47,52,45,1.08,0.56,1.7482,1.6812
accounted,154,140,152,138,3.02,1.67,2.1903,2.1492
accounting,230,179,186,151,4.51,2.13,2.3636,2.2553
accounts,534,391,521,385,10.47,4.66,2.7284,2.5933
accoutred,2,2,2,2,0.04,0.02,0.4771,0.4771
accoutrement,6,5,6,5,0.12,0.06,0.8451,0.7782
accoutrements,6,6,5,5,0.12,0.07,0.8451,0.8451
Accra,4,3,0,0,0.08,0.04,0.6990,0.6021
accreditation,9,6,8,6,0.18,0.07,1.0000,0.8451
accredited,16,13,16,13,0.31,0.15,1.2304,1.1461
accrual,2,2,2,2,0.04,0.02,0.4771,0.4771
accrue,4,4,4,4,0.08,0.05,0.6990,0.6990
accrued,13,12,12,12,0.25,0.14,1.1461,1.1139
accruing,2,2,2,2,0.04,0.02,0.4771,0.4771
accumulate,29,27,28,27,0.57,0.32,1.4771,1.4472
accumulated,39,38,38,37,0.76,0.45,1.6021,1.5911
accumulates,11,11,11,11,0.22,0.13,1.0792,1.0792
accumulating,18,18,17,17,0.35,0.21,1.2788,1.2788
accumulation,13,13,13,13,0.25,0.15,1.1461,1.1461
accumulative,3,2,3,2,0.06,0.02,0.6021,0.4771
accuracy,76,65,73,63,1.49,0.77,1.8865,1.8195
accurate,400,344,388,333,7.84,4.10,2.6031,2.5378
accurately,58,57,57,56,1.14,0.68,1.7709,1.7634
accursed,33,30,30,27,0.65,0.36,1.5315,1.4914
accusation,143,128,142,128,2.80,1.53,2.1584,2.1106
accusations,153,126,151,124,3.00,1.50,2.1875,2.1038
accusatory,3,3,3,3,0.06,0.04,0.6021,0.6021
accuse,290,233,281,229,5.69,2.78,2.4639,2.3692
accused,666,459,655,453,13.06,5.47,2.8241,2.6628
accuser,15,12,15,12,0.29,0.14,1.2041,1.1139
accusers,8,8,8,8,0.16,0.10,0.9542,0.9542
accuses,31,29,29,27,0.61,0.35,1.5051,1.4771
accusing,252,220,241,209,4.94,2.62,2.4031,2.3444
accustom,6,5,6,5,0.12,0.06,0.8451,0.7782
accustomed,149,133,143,132,2.92,1.59,2.1761,2.1271
Ace,751,321,357,220,14.73,3.83,2.8762,2.5079
aced,39,36,33,31,0.76,0.43,1.6021,1.5682
acerbic,4,4,4,4,0.08,0.05,0.6990,0.6990
aces,202,136,132,96,3.96,1.62,2.3075,2.1367
acetabulum,2,1,2,1,0.04,0.01,0.4771,0.3010
acetaminophen,5,4,4,3,0.10,0.05,0.7782,0.6990
acetate,6,5,5,4,0.12,0.06,0.8451,0.7782
acetone,8,7,7,6,0.16,0.08,0.9542,0.9031
Acetyl,2,2,0,0,0.04,0.02,0.4771,0.4771
Acetylcholine,7,6,3,3,0.14,0.07,0.9031,0.8451
acetylene,23,14,22,13,0.45,0.17,1.3802,1.1761
acetylsalicylic,4,2,4,2,0.08,0.02,0.6990,0.4771
Ach,38,23,0,0,0.75,0.27,1.5911,1.3802
ache,127,113,125,111,2.49,1.35,2.1072,2.0569
ached,16,16,15,15,0.31,0.19,1.2304,1.2304
acher,2,2,1,1,0.04,0.02,0.4771,0.4771
Acheron,25,2,0,0,0.49,0.02,1.4150,0.4771
aches,77,64,77,64,1.51,0.76,1.8921,1.8129
achievable,2,2,2,2,0.04,0.02,0.4771,0.4771
achieve,374,317,373,316,7.33,3.78,2.5740,2.5024
achieved,219,189,215,185,4.29,2.25,2.3424,2.2788
achievement,178,159,169,153,3.49,1.90,2.2529,2.2041
achievements,55,52,55,52,1.08,0.62,1.7482,1.7243
achiever,12,12,11,11,0.24,0.14,1.1139,1.1139
Achievers,9,5,4,3,0.18,0.06,1.0000,0.7782
achieves,16,16,16,16,0.31,0.19,1.2304,1.2304
achieving,37,37,37,37,0.73,0.44,1.5798,1.5798
Achilles,115,40,1,1,2.25,0.48,2.0645,1.6128
aching,105,97,103,96,2.06,1.16,2.0253,1.9912
achingly,2,2,1,1,0.04,0.02,0.4771,0.4771
achondroplasia,2,2,2,2,0.04,0.02,0.4771,0.4771
Achoo,5,4,1,1,0.10,0.05,0.7782,0.6990
achy,23,21,22,20,0.45,0.25,1.3802,1.3424
acid,508,323,466,305,9.96,3.85,2.7067,2.5105
acidemia,2,1,2,1,0.04,0.01,0.4771,0.3010
acidic,11,11,10,10,0.22,0.13,1.0792,1.0792
acidity,10,8,9,7,0.20,0.10,1.0414,0.9542
acidophilus,3,3,2,2,0.06,0.04,0.6021,0.6021
acidosis,8,5,7,5,0.16,0.06,0.9542,0.7782
acidotic,4,3,4,3,0.08,0.04,0.6990,0.6021
acids,42,33,41,33,0.82,0.39,1.6335,1.5315
acing,4,4,4,4,0.08,0.05,0.6990,0.6990
Ack,29,15,8,7,0.57,0.18,1.4771,1.2041
Acker,8,3,0,0,0.16,0.04,0.9542,0.6021
acknowledge,313,250,266,228,6.14,2.98,2.4969,2.3997
acknowledged,100,87,72,71,1.96,1.04,2.0043,1.9445
acknowledgement,21,20,21,20,0.41,0.24,1.3424,1.3222
acknowledgements,4,2,4,2,0.08,0.02,0.6990,0.4771
acknowledges,13,12,13,12,0.25,0.14,1.1461,1.1139
acknowledging,36,34,35,33,0.71,0.41,1.5682,1.5441
acknowledgment,26,26,26,26,0.51,0.31,1.4314,1.4314
Aclu,21,20,0,0,0.41,0.24,1.3424,1.3222
Acme,64,19,0,0,1.25,0.23,1.8129,1.3010
acne,46,37,45,36,0.90,0.44,1.6721,1.5798
acolyte,7,7,7,7,0.14,0.08,0.9031,0.9031
acolytes,6,4,6,4,0.12,0.05,0.8451,0.6990
Acoma,3,1,0,0,0.06,0.01,0.6021,0.3010
aconitum,4,2,4,2,0.08,0.02,0.6990,0.4771
acorn,37,16,29,14,0.73,0.19,1.5798,1.2304
Acorns,19,11,9,9,0.37,0.13,1.3010,1.0792
acoustic,49,31,46,29,0.96,0.37,1.6990,1.5051
acoustical,6,4,5,3,0.12,0.05,0.8451,0.6990
acoustics,22,22,22,22,0.43,0.26,1.3617,1.3617
acquaint,20,20,17,17,0.39,0.24,1.3222,1.3222
acquaintance,273,229,271,228,5.35,2.73,2.4378,2.3617
acquaintances,54,48,51,45,1.06,0.57,1.7404,1.6902
acquaintanceship,4,4,4,4,0.08,0.05,0.6990,0.6990
acquainted,231,204,229,204,4.53,2.43,2.3655,2.3118
acquainting,2,2,1,1,0.04,0.02,0.4771,0.4771
acquiesce,3,3,2,2,0.06,0.04,0.6021,0.6021
acquiesced,5,5,5,5,0.10,0.06,0.7782,0.7782
acquiescence,5,5,5,5,0.10,0.06,0.7782,0.7782
acquiescing,2,2,2,2,0.04,0.02,0.4771,0.4771
acquire,135,123,133,121,2.65,1.47,2.1335,2.0934
acquired,228,195,222,191,4.47,2.32,2.3598,2.2923
acquires,8,8,8,8,0.16,0.10,0.9542,0.9542
acquiring,43,35,41,34,0.84,0.42,1.6435,1.5563
acquisition,74,64,71,62,1.45,0.76,1.8751,1.8129
acquisitions,33,25,21,19,0.65,0.30,1.5315,1.4150
acquisitive,3,3,3,3,0.06,0.04,0.6021,0.6021
acquit,24,19,23,19,0.47,0.23,1.3979,1.3010
acquittal,37,33,36,32,0.73,0.39,1.5798,1.5315
acquitted,78,56,72,52,1.53,0.67,1.8976,1.7559
acquitting,6,3,6,3,0.12,0.04,0.8451,0.6021
acre,93,55,67,50,1.82,0.66,1.9731,1.7482
acreage,22,19,22,19,0.43,0.23,1.3617,1.3010
acres,234,159,185,139,4.59,1.90,2.3711,2.2041
acrid,2,2,2,2,0.04,0.02,0.4771,0.4771
acrimonious,7,5,6,4,0.14,0.06,0.9031,0.7782
acrimony,11,6,11,6,0.22,0.07,1.0792,0.8451
acrobat,30,21,27,21,0.59,0.25,1.4914,1.3424
acrobatic,12,12,12,12,0.24,0.14,1.1139,1.1139
acrobatics,11,10,10,10,0.22,0.12,1.0792,1.0414
acrobats,19,19,19,19,0.37,0.23,1.3010,1.3010
acromegalia,10,1,6,1,0.20,0.01,1.0414,0.3010
