,Word,FREQcount
0,confid,522
1,config,71
2,confin,298
3,confirm,1928
4,confisc,179
5,confit,2
6,conflagr,5
7,conflict,605
8,conflu,10
9,conform,162
10,confound,133
11,confr,2
12,confront,534
13,confuc,4
14,confuci,45
15,confus,2799
16,cong,150
17,conga,5
18,congenit,32
19,congest,56
20,conglom,53
21,congo,62
22,congoles,2
23,congr,91
24,congrat,4073
25,congreg,153
26,congress,524
27,congressm,371
28,congresswom,16
29,congru,9
30,con,523
31,conin,4
32,conject,47
33,conjoin,12
34,conjug,59
35,conjunct,68
36,conjunctivit,6
37,cond,124
38,conk,51
39,conm,4
40,connect,3439
41,connecticut,323
42,connex,14
43,conny,806
44,connipt,7
45,connoiss,34
46,connot,27
47,connub,4
48,conqu,550
49,conquest,126
50,conquistad,13
51,consarn,17
52,conscy,1539
53,conscienty,66
54,conscrib,22
55,consecr,40
56,consecut,91
57,consens,120
58,cons,917
59,consequ,756
60,conserv,404
61,conservatoir,7
62,consid,5801
63,consign,57
64,consist,516
65,consol,348
66,consolid,82
67,conson,21
68,consort,104
69,conspicu,78
70,conspir,740
71,const,1277
72,constab,10
73,constantinopl,45
74,constel,71
75,constern,7
76,constip,65
77,constitu,54
78,constitut,543
79,constrain,17
80,constraint,18
81,constrict,48
82,construct,1029
83,constru,51
84,consul,21
85,consult,841
86,consum,709
87,cont,1398
88,contact,4162
89,contagy,170
90,contain,1341
91,contamin,261
92,contempl,173
93,contemp,113
94,contempt,296
95,contemptu,15
96,contend,136
97,contenty,9
98,contess,21
99,contest,1318
100,context,167
101,contigu,3
102,contin,504
103,continu,4537
104,contort,25
105,conto,40
106,contr,3
107,contraband,48
108,contraceiv,58
109,contract,2454
110,contradict,236
111,contrail,2
112,contraind,6
113,contrair,28
114,contrapt,91
115,contrapunt,7
116,contrariw,2
117,contrast,123
118,contrav,10
119,contrecoup,2
120,contretemp,5
121,contribut,714
122,contrit,40
123,control,7745
124,controvers,109
125,controversy,86
126,contud,105
127,conundr,25
128,conundrum,2
129,conv,1160
130,convalesc,30
131,convect,6
132,conveny,774
133,converg,72
134,convers,2988
135,convert,641
136,convex,9
137,convey,234
138,convict,1256
139,convint,2413
140,convoc,3
141,convolv,16
142,convoy,192
143,convuls,57
144,coo,108
145,cooch,12
146,cook,4342
147,cookbook,48
148,cookery,6
149,cooky,1765
150,cookout,44
151,cookw,6
152,cool,10664
153,coolest,214
154,cooley,78
155,coolidg,31
156,coomb,101
157,coon,90
158,coonhound,3
159,coonskin,5
160,coop,2716
161,coordin,745
162,coot,85
163,cooty,32
164,cop,12853
165,copacet,21
166,copaset,6
167,copenh,67
168,copern,9
169,copernic,34
170,copilot,54
171,copperbottom,11
172,copperhead,10
173,coppery,2
174,coppin,4
175,copr,4
176,coprophil,2
177,copt,27
178,copybook,4
179,copyc,51
180,copycat,2
181,copyright,38
182,copywrit,9
183,coquet,15
184,coquil,9
185,cor,1021
186,coracoid,2
187,coranto,2
188,corbeau,3
189,corbeil,4
190,corbet,2
191,corby,11
192,cord,537
193,cordiller,6
194,cordit,3
195,cordless,20
196,cordob,26
197,cordon,72
198,corduroy,41
199,cordwood,3
200,cordy,252
201,coreg,3
202,corespond,7
203,corg,3
204,coriand,4
205,corin,106
206,corinth,20
207,cork,182
208,corkboard,3
209,corkscrew,60
210,corky,178
211,corm,5
212,corn,3971
213,cornbal,24
214,cornbread,46
215,corncob,20
216,corne,16
217,cornea,10
218,cornel,116
219,cornerback,9
220,cornerston,39
221,cornet,11
222,cornfield,41
223,cornflak,25
224,cornflow,9
225,cornhol,7
226,corniest,3
227,cornishm,5
228,cornm,12
229,cornrow,8
230,cornstalk,2
231,cornstarch,9
232,cornu,2
233,cornucop,15
234,cornwal,126
235,corny,202
236,corol,9
237,coron,748
238,coronado,36
239,corona,3
240,coronel,6
241,coronet,6
242,corp,2549
243,corps,707
244,corpsm,146
245,corpusc,35
246,corral,9
247,correct,3135
248,corregid,11
249,correl,56
250,correspond,354
251,corrid,336
252,corry,20
253,corrob,116
254,corrod,59
255,corrug,10
256,corrupt,666
257,cors,63
258,corsair,7
259,corset,62
260,corso,47
261,cort,38
262,corteg,2
263,cortex,57
264,cortez,131
265,corticosteroid,8
266,cortin,16
267,cortisol,6
268,cortison,29
269,corund,3
270,corvet,75
271,corvin,2
272,corvo,3
273,corv,3
274,cos,1541
275,cosign,17
276,cosin,6
277,cosy,105
278,cosmet,195
279,cosmetolog,16
280,cosm,193
281,cosmo,275
282,cosmolog,12
283,cosmonaut,18
284,cosmopolit,66
285,cossack,33
286,cost,3984
287,costliest,3
288,costum,1046
289,cot,450
290,coteau,2
291,cotery,3
292,cotil,72
293,cotillon,9
294,cott,4
295,cotton,729
