,Word,FREQcount
0,repeat,636
1,repel,105
2,repent,189
3,repercussion,59
4,repertoire,23
5,repertory,16
6,repetition,40
7,repetitious,7
8,repetitive,29
9,rephrase,84
10,rephrasing,5
11,replace,1679
12,replant,18
13,replate,2
14,replay,74
15,repledge,2
16,replenish,44
17,replete,8
18,replica,146
19,reply,339
20,repopulate,12
21,report,9680
22,repose,33
23,reposing,3
24,reposit,60
25,repossess,51
26,repot,3
27,rep,53
28,reprehensible,29
29,represent,2054
30,repress,176
31,reprieve,62
32,reprimand,56
33,reprint,17
34,reprisal,37
35,reprise,9
36,reproach,35
37,reprobate,17
38,reprocess,4
39,reproduce,117
40,reproducible,2
41,reproduction,85
42,reproductive,56
43,reprogram,79
44,reproof,2
45,reprove,4
46,reptile,115
47,reptilian,33
48,republic,562
49,repudiate,17
50,repudiation,5
51,repugnance,3
52,repugnant,39
53,repulse,57
54,repulsion,8
55,repulsive,105
56,reputable,43
57,reputation,1016
58,repute,46
59,req,3
60,request,2239
61,requiem,19
62,requiescat,2
63,require,1800
64,requisite,19
65,requisition,87
66,requite,11
67,reran,2
68,reread,38
69,rerecord,2
70,rerig,2
71,rerout,83
72,rerun,90
73,res,27
74,resale,12
75,rescan,2
76,reschedule,229
77,rescind,62
78,rescue,1727
79,reseal,6
80,research,1915
81,resect,48
82,reseda,24
83,resee,11
84,resell,11
85,resemblance,180
86,resemble,193
87,resend,2
88,resent,504
89,resequencing,3
90,reservation,853
91,reserve,712
92,reservist,9
93,reservoir,106
94,reset,189
95,reshape,20
96,reship,2
97,reshont,12
98,resho,19
99,reshuffle,4
100,reshuffling,2
101,reside,1381
102,residual,71
103,residue,148
104,resign,651
105,resilience,7
106,resiliency,3
107,resilient,28
108,resin,33
109,resist,1412
110,resize,4
111,resold,4
112,resolute,38
113,resolution,170
114,resolve,448
115,resonance,33
116,resonant,6
117,resonate,42
118,resort,408
119,resound,36
120,resource,640
121,resp,11857
122,rest,16289
123,resubmit,3
124,result,2309
125,resume,377
126,resumute,19
127,resumption,3
128,resupply,20
129,resurface,33
130,resurfacing,5
131,resurgence,4
132,resurrect,265
133,resuscitate,67
134,resuscitation,23
135,resuscitator,3
136,retail,139
137,retain,345
138,retake,53
139,retaliate,78
140,retaliation,48
141,retaliatory,13
142,retard,588
143,retch,48
144,retelling,2
145,retention,14
146,retentive,3
147,retest,18
148,rethink,101
149,rethought,6
150,rethread,2
151,reticence,6
152,reticent,12
153,reticular,5
154,reticulate,2
155,reticulum,6
156,retina,87
157,retinitis,5
158,retire,1694
159,retald,4
160,retaok,4
161,retool,12
162,retort,15
163,retouch,10
164,retrace,42
165,retract,217
166,retrain,12
167,retread,10
168,retreat,602
169,retrial,21
170,retribution,85
171,retrievable,2
172,retrieval,57
173,retrieve,326
174,retro,204
175,retry,5
176,retune,4
177,return,6984
178,retype,2
179,reuben,60
180,reunification,13
181,reunify,2
182,reunion,483
183,reunite,143
184,reupholster,7
185,reuse,15
186,rev,240
187,revamp,9
188,reve,4542
189,review,1173
190,revile,19
191,revise,121
192,revision,61
193,revisit,60
194,revitalise,2
195,revitalize,20
196,revival,65
197,revive,146
198,revocable,3
199,revocation,2
200,revoir,179
201,revoke,110
202,revolt,192
203,revolution,968
204,revolve,229
205,revolving,51
206,revote,2
207,revue,39
208,revulsion,12
209,revve,12
210,revving,39
211,rew,5
212,reward,1258
213,rewarm,4
214,rewash,4
215,rewind,103
216,rewire,33
217,rewiring,17
218,rework,23
219,rewound,4
220,rewrite,226
221,rewro,41
222,rex,464
223,reykjavik,25
224,reynard,6
225,rezone,3
226,rf,15
227,rg,2
228,rh,19
229,rhapsody,27
230,rhd,3
231,rhea,2
232,rheingold,3
233,rhenish,2
234,rhesus,9
235,rhetoric,77
236,rheum,54
237,rhine,94
238,rhinitis,2
239,rhino,164
240,rhizome,6
241,rhizopus,3
242,rho,7
243,rhodes,192
244,rhodium,2
245,rhododendron,5
246,rhomboid,4
247,rhombus,3
248,rhonchi,3
249,rhubarb,55
250,rhumba,4
251,rhyme,393
252,rhyming,42
253,rhythm,670
254,rialto,24
255,rib,745
256,ribald,8
257,ribbing,10
258,ribble,38
259,ribbon,407
260,ribby,6
261,riboflavin,6
262,rice,771
263,rich,8953
264,ricin,17
265,rick,1459
266,ricochet,39
267,ricotta,13
268,rid,3073
269,ridable,2
270,riddance,88
271,ride,8464
272,riddle,386
273,rideable,3
274,ridge,418
275,ridgy,2
276,ridicule,148
277,ridiculous,2884
278,riding,1632
279,ridley,96
280,rie,16
281,riesling,3
282,rife,26
283,riff,125
284,rifl,1068
285,rift,59
286,rig,661
287,riga,35
288,rigel,8
289,rigger,9
290,rigging,55
291,right,206770
292,rigid,114
293,rigmarole,6
294,rigor,109
295,rigour,6
296,rile,386
297,rill,12
298,rim,164
299,rima,5
300,rime,10
301,rimmer,2
302,rin,56
303,rincon,13
304,rind,39
305,rine,3
306,ring,7464
307,rink,112
308,rinse,131
309,rinsing,3
310,rio,349
311,riot,507
312,rip,2273
313,ripa,4
314,ripcord,2
315,ripe,254
316,ripoff,5
317,riposte,6
318,ripper,143
